type;niveau;categorie;allemand;francais;anglais;exemple_de;exemple_fr;exemple_en
verbe (chapitre VHS);B1;Kapitel 2 (VHS);zustellen;livrer, remettre (courrier);to deliver;Der Postbote stellt uns die Pakete am Vormittag zu.;Le facteur nous livre les colis le matin.;The mail carrier delivers us the packages in the morning.
verbe (chapitre VHS);B1;Kapitel 3 (VHS);entstehen;se former, naître (apparaître);to arise, to come into being;Durch den Sturm entsteht ein großer Schaden.;La tempête provoque de gros dégâts.;The storm causes major damage.
verbe (chapitre VHS);B1;Kapitel 3 (VHS);erstatten;rembourser (des frais);to reimburse;Die Versicherung erstattet uns die Kosten der Reparatur.;L'assurance nous rembourse les frais de réparation.;The insurance reimburses us the repair costs.
verbe (chapitre VHS);B1;Kapitel 3 (VHS);erwarten;attendre, s'attendre à;to expect;Wir erwarten eine schnelle Antwort von der Bank.;Nous attendons une réponse rapide de la banque.;We expect a quick response from the bank.
verbe (chapitre VHS);B1;Kapitel 3 (VHS);senden;envoyer;to send;Ich sende Ihnen die Unterlagen morgen.;Je vous envoie les documents demain.;I'm sending you the documents tomorrow.
verbe (chapitre VHS);B1;Kapitel 3 (VHS);sperren;bloquer;to block;Die Bank sperrt meine Kreditkarte sofort.;La banque bloque ma carte de crédit immédiatement.;The bank blocks my credit card right away.
verbe (chapitre VHS);B1;Kapitel 3 (VHS);stehlen;voler;to steal;Diebe stehlen in dieser Straße oft Fahrräder.;Des voleurs volent souvent des vélos dans cette rue.;Thieves often steal bicycles on this street.
verbe (chapitre VHS);B1;Kapitel 3 (VHS);unterstützen;soutenir;to support;Die Bank unterstützt kleine Unternehmen mit Krediten.;La banque soutient les petites entreprises avec des crédits.;The bank supports small businesses with loans.
verbe (chapitre VHS);B1;Kapitel 3 (VHS);abheben;retirer (de l'argent);to withdraw (money);Ich hebe am Automaten hundert Euro ab.;Je retire cent euros au distributeur.;I withdraw a hundred euros at the ATM.
verbe (chapitre VHS);B1;Kapitel 3 (VHS);akzeptieren;accepter;to accept;Diese Bank akzeptiert keine Bargeldeinzahlungen mehr.;Cette banque n'accepte plus les dépôts en espèces.;This bank no longer accepts cash deposits.
verbe (chapitre VHS);B1;Kapitel 3 (VHS);angeben;indiquer, déclarer;to state, to indicate;Sie gibt ihre IBAN auf dem Formular an.;Elle indique son IBAN sur le formulaire.;She states her IBAN on the form.
verbe (chapitre VHS);B1;Kapitel 3 (VHS);aufnehmen;contracter (un crédit);to take out (a loan);Sie nimmt einen Kredit für das Studium auf.;Elle contracte un crédit pour ses études.;She takes out a loan for her studies.
verbe (chapitre VHS);B1;Kapitel 3 (VHS);ausdrucken;imprimer;to print out;Der Automat druckt den Kontoauszug aus.;Le distributeur imprime le relevé de compte.;The machine prints out the bank statement.
verbe (chapitre VHS);B1;Kapitel 3 (VHS);beschädigen;endommager;to damage;Ein harter Transport beschädigt das Gerät.;Un transport brutal endommage l'appareil.;Rough transport damages the device.
verbe (chapitre VHS);B1;Kapitel 3 (VHS);einzahlen;déposer (de l'argent);to deposit (money);Ich zahle zweihundert Euro auf mein Konto ein.;Je dépose deux cents euros sur mon compte.;I deposit two hundred euros into my account.
verbe (chapitre VHS);B1;Kapitel 4 (VHS);abnehmen;maigrir, perdre du poids;to lose weight;Er nimmt seit dem Sommer langsam ab.;Il perd du poids lentement depuis l'été.;He has been slowly losing weight since summer.
verbe (chapitre VHS);B1;Kapitel 4 (VHS);ändern;changer, modifier;to change, to modify;Sie ändert ihre Essgewohnheiten.;Elle change ses habitudes alimentaires.;She changes her eating habits.
verbe (chapitre VHS);B1;Kapitel 4 (VHS);sich ernähren;se nourrir, s'alimenter;to eat, to feed oneself;Er ernährt sich seit Jahren vegetarisch.;Il se nourrit végétarien depuis des années.;He has eaten a vegetarian diet for years.
verbe (chapitre VHS);B1;Kapitel 4 (VHS);fallen;tomber;to fall;Die Preise für Obst fallen im Sommer.;Les prix des fruits baissent en été.;Fruit prices fall in summer.
verbe (chapitre VHS);B1;Kapitel 4 (VHS);teilnehmen;participer (à qch);to participate (in sth);Sie nimmt an einem Ernährungskurs teil.;Elle participe à un cours de nutrition.;She is taking part in a nutrition course.
verbe (chapitre VHS);B1;Kapitel 4 (VHS);verändern;changer, modifier;to change;Die neue Diät verändert ihr Leben.;Le nouveau régime change sa vie.;The new diet changes her life.
verbe (chapitre VHS);B1;Kapitel 4 (VHS);verbessern;améliorer;to improve;Er verbessert seine Ernährung Schritt für Schritt.;Il améliore son alimentation pas à pas.;He improves his diet step by step.
verbe (chapitre VHS);B1;Kapitel 4 (VHS);verbrauchen;consommer (des ressources);to consume, to use up;Wir verbrauchen jede Woche ein Kilo Zucker.;Nous consommons un kilo de sucre par semaine.;We use up a kilo of sugar every week.
verbe (chapitre VHS);B1;Kapitel 4 (VHS);zubereiten;préparer (un repas);to prepare (a meal);Sie bereitet das Abendessen frisch zu.;Elle prépare le dîner avec des produits frais.;She prepares dinner with fresh ingredients.
verbe (chapitre VHS);B1;Kapitel 4 (VHS);zustimmen;être d'accord (avec qch/qn);to agree (with sth/sb);Ich stimme deinem Vorschlag zu.;Je suis d'accord avec ta proposition.;I agree with your suggestion.
verbe (chapitre VHS);B1;Kapitel 5 (VHS);gründen;fonder;to found;Die beiden Freunde gründen zusammen eine Firma.;Les deux amis fondent une entreprise ensemble.;The two friends are founding a company together.
verbe (chapitre VHS);B1;Kapitel 5 (VHS);herunterladen;télécharger;to download;Ich lade die App auf mein Handy herunter.;Je télécharge l'application sur mon téléphone.;I download the app onto my phone.
verbe (chapitre VHS);B1;Kapitel 5 (VHS);kritisieren;critiquer;to criticize;Er kritisiert die Entscheidung seines Chefs.;Il critique la décision de son patron.;He criticizes his boss's decision.
verbe (chapitre VHS);B1;Kapitel 5 (VHS);leisten;accomplir, se permettre;to accomplish, to afford;Sie leistet in ihrem Beruf viel.;Elle accomplit beaucoup dans son métier.;She achieves a lot in her job.
verbe (chapitre VHS);B1;Kapitel 5 (VHS);retten;sauver;to save, to rescue;Der Feuerwehrmann rettet das Kind aus dem Wasser.;Le pompier sauve l'enfant de l'eau.;The firefighter rescues the child from the water.
verbe (chapitre VHS);B1;Kapitel 5 (VHS);verzeihen;pardonner;to forgive;Sie verzeiht ihm den Fehler schnell.;Elle lui pardonne vite son erreur.;She quickly forgives him for the mistake.
verbe (chapitre VHS);B1;Kapitel 5 (VHS);sich amüsieren;s'amuser;to have fun;Die Kinder amüsieren sich auf dem Fest.;Les enfants s'amusent à la fête.;The children are having fun at the party.
verbe (chapitre VHS);B1;Kapitel 5 (VHS);sich anstrengen;faire des efforts, s'appliquer;to make an effort;Er strengt sich für die Prüfung sehr an.;Il fait beaucoup d'efforts pour l'examen.;He is making a big effort for the exam.
verbe (chapitre VHS);B1;Kapitel 5 (VHS);anwenden;appliquer, utiliser;to apply, to use;Sie wendet die neue Methode im Unterricht an.;Elle applique la nouvelle méthode en classe.;She applies the new method in class.
verbe (chapitre VHS);B1;Kapitel 5 (VHS);behalten;garder;to keep;Ich behalte dieses Foto als Erinnerung.;Je garde cette photo en souvenir.;I keep this photo as a memento.
verbe (chapitre VHS);B1;Kapitel 5 (VHS);bemerken;remarquer;to notice;Sie bemerkt seine schlechte Laune sofort.;Elle remarque tout de suite sa mauvaise humeur.;She notices his bad mood right away.
verbe (chapitre VHS);B1;Kapitel 5 (VHS);beschließen;décider (résolument);to decide, to resolve;Sie beschließen, in eine andere Stadt umzuziehen.;Ils décident de déménager dans une autre ville.;They decide to move to another city.
verbe (chapitre VHS);B1;Kapitel 6 (VHS);operieren;opérer;to operate (surgery);Der Chirurg operiert den Patienten heute Nachmittag.;Le chirurgien opère le patient cet après-midi.;The surgeon is operating on the patient this afternoon.
verbe (chapitre VHS);B1;Kapitel 6 (VHS);röntgen;radiographier, faire une radio;to X-ray;Der Arzt röntgt den gebrochenen Arm.;Le médecin radiographie le bras cassé.;The doctor X-rays the broken arm.
verbe (chapitre VHS);B1;Kapitel 6 (VHS);stürzen;tomber (chute);to fall, to tumble;Auf dem Eis stürzt man leicht.;Sur la glace, on tombe facilement.;On the ice, you fall easily.
verbe (chapitre VHS);B1;Kapitel 6 (VHS);sich verletzen;se blesser (à qch);to injure oneself;Er verletzt sich beim Fußball oft am Knie.;Il se blesse souvent au genou en jouant au football.;He often injures his knee playing soccer.
verbe (chapitre VHS);B1;Kapitel 6 (VHS);versorgen;soigner, s'occuper de;to take care of, to treat;Die Krankenschwester versorgt die Wunde.;L'infirmière soigne la blessure.;The nurse treats the wound.
verbe (chapitre VHS);B1;Kapitel 6 (VHS);wehtun;faire mal;to hurt;Mein Rücken tut mir seit gestern weh.;J'ai mal au dos depuis hier.;My back has hurt since yesterday.
verbe (chapitre VHS);B1;Kapitel 6 (VHS);begleiten;accompagner;to accompany;Der Sohn begleitet seine Mutter zum Arzt.;Le fils accompagne sa mère chez le médecin.;The son accompanies his mother to the doctor.
verbe (chapitre VHS);B1;Kapitel 6 (VHS);betreuen;s'occuper de, encadrer;to look after, to care for;Die Krankenschwester betreut zehn Patienten.;L'infirmière s'occupe de dix patients.;The nurse takes care of ten patients.
verbe (chapitre VHS);B1;Kapitel 6 (VHS);bluten;saigner;to bleed;Sein Finger blutet stark.;Son doigt saigne beaucoup.;His finger is bleeding badly.
verbe (chapitre VHS);B1;Kapitel 6 (VHS);sich etwas brechen;se casser qch;to break sth (a body part);Er bricht sich beim Skifahren das Bein.;Il se casse la jambe en skiant.;He breaks his leg while skiing.
verbe (chapitre VHS);B1;Kapitel 6 (VHS);geschehen;se passer, arriver (événement);to happen;So etwas geschieht zum Glück selten.;Ce genre de chose arrive heureusement rarement.;Something like that fortunately happens rarely.
verbe (chapitre VHS);B1;Kapitel 6 (VHS);massieren;masser;to massage;Der Physiotherapeut massiert ihren Rücken.;Le physiothérapeute lui masse le dos.;The physiotherapist massages her back.
verbe (chapitre VHS);B1;Kapitel 7 (VHS);schützen;protéger;to protect;Wir schützen die Umwelt vor Verschmutzung.;Nous protégeons l'environnement de la pollution.;We protect the environment from pollution.
verbe (chapitre VHS);B1;Kapitel 7 (VHS);transportieren;transporter;to transport;Der Lkw transportiert Obst und Gemüse.;Le camion transporte des fruits et légumes.;The truck transports fruit and vegetables.
verbe (chapitre VHS);B1;Kapitel 7 (VHS);sich verabschieden;dire au revoir (à qch/qn);to say goodbye (to sth/sb);Wir verabschieden uns vom alten Auto.;Nous disons au revoir à la vieille voiture.;We say goodbye to the old car.
verbe (chapitre VHS);B1;Kapitel 7 (VHS);verbieten;interdire;to forbid, to ban;Die Stadt verbietet den Supermärkten Plastiktüten.;La ville interdit les sacs en plastique aux supermarchés.;The city bans plastic bags for supermarkets.
verbe (chapitre VHS);B1;Kapitel 7 (VHS);verzichten;renoncer (à qch);to do without, to forgo;Sie verzichtet ganz auf Fleisch.;Elle renonce complètement à la viande.;She completely forgoes meat.
verbe (chapitre VHS);B1;Kapitel 7 (VHS);wachsen;pousser, grandir;to grow;Die Pflanze wächst im Sommer sehr schnell.;La plante pousse très vite en été.;The plant grows very fast in summer.
verbe (chapitre VHS);B1;Kapitel 7 (VHS);widersprechen;contredire;to contradict;Die neue Studie widerspricht den alten Ergebnissen.;La nouvelle étude contredit les anciens résultats.;The new study contradicts the old results.
verbe (chapitre VHS);B1;Kapitel 7 (VHS);atmen;respirer;to breathe;Nach dem Lauf atmet sie noch schnell.;Après la course, elle respire encore vite.;After the run, she is still breathing fast.
verbe (chapitre VHS);B1;Kapitel 7 (VHS);sich etwas anschaffen;se procurer qch, acheter qch;to acquire, to get sth;Sie schaffen sich Solarpanele an.;Ils se procurent des panneaux solaires.;They are getting solar panels.
verbe (chapitre VHS);B1;Kapitel 7 (VHS);aufheben;ramasser, conserver;to pick up, to keep;Er hebt jeden Zettel vom Boden auf.;Il ramasse chaque bout de papier par terre.;He picks up every scrap of paper off the ground.
verbe (chapitre VHS);B1;Kapitel 7 (VHS);behaupten;affirmer, prétendre;to claim, to assert;Sie behauptet, dass Plastik gefährlich ist.;Elle affirme que le plastique est dangereux.;She claims that plastic is dangerous.
verbe (chapitre VHS);B1;Kapitel 7 (VHS);blühen;fleurir;to bloom;Im Frühling blühen die Bäume.;Au printemps, les arbres fleurissent.;In spring, the trees bloom.
verbe (chapitre VHS);B1;Kapitel 7 (VHS);heizen;chauffer;to heat;Wir heizen das Haus mit Solarenergie.;Nous chauffons la maison à l'énergie solaire.;We heat the house with solar energy.
verbe (chapitre VHS);B1;Kapitel 7 (VHS);produzieren;produire;to produce;Die Fabrik produziert zu viel Abfall.;L'usine produit trop de déchets.;The factory produces too much waste.
verbe (chapitre VHS);B1;Kapitel 8 (VHS);sich aufregen;s'énerver;to get upset;Er regt sich schnell über kleine Dinge auf.;Il s'énerve vite pour de petites choses.;He gets upset quickly over small things.
verbe (chapitre VHS);B1;Kapitel 8 (VHS);sich vorstellen;imaginer, se présenter;to imagine, to introduce oneself;Ich stelle mir ein Leben ohne Handy schwierig vor.;J'imagine difficilement une vie sans téléphone.;I imagine a life without a phone would be hard.
verbe (chapitre VHS);B1;Kapitel 9 (VHS);beherrschen;maîtriser;to master;Sie beherrscht drei Fremdsprachen.;Elle maîtrise trois langues étrangères.;She masters three foreign languages.
verbe (chapitre VHS);B1;Kapitel 9 (VHS);sich beschäftigen;s'occuper (de qch);to deal with, to occupy oneself;Er beschäftigt sich seit Jahren mit diesem Thema.;Il s'occupe de ce sujet depuis des années.;He has been dealing with this topic for years.
verbe (chapitre VHS);B1;Kapitel 9 (VHS);sich bewerben;postuler (auprès de qn);to apply (to sb);Sie bewirbt sich bei drei verschiedenen Firmen.;Elle postule dans trois entreprises différentes.;She is applying to three different companies.
verbe (chapitre VHS);B1;Kapitel 9 (VHS);gehen;s'agir (de qch);to be about (impers., um + A.);In der Besprechung geht es um das neue Gehalt.;La réunion porte sur le nouveau salaire.;The meeting is about the new salary.
verbe (chapitre VHS);B1;Kapitel 9 (VHS);sich irren;se tromper;to be mistaken;Ich glaube, du irrst dich diesmal.;Je crois que tu te trompes cette fois.;I think you're mistaken this time.
verbe (chapitre VHS);B1;Kapitel 9 (VHS);kennen;connaître;to know (be acquainted with);Kennst du den neuen Kollegen schon?;Connais-tu déjà le nouveau collègue ?;Do you already know the new colleague?
verbe (chapitre VHS);B1;Kapitel 9 (VHS);laufen;aller, marcher (fonctionner);to go, to run (function);Wie läuft's mit deinem neuen Job?;Comment ça se passe avec ton nouveau travail ?;How's it going with your new job?
verbe (chapitre VHS);B1;Kapitel 9 (VHS);recht haben;avoir raison;to be right;Du hast recht, das Gehalt ist zu niedrig.;Tu as raison, le salaire est trop bas.;You're right, the salary is too low.
verbe (chapitre VHS);B1;Kapitel 9 (VHS);stimmen;être exact, être correct;to be correct;Diese Rechnung stimmt leider nicht.;Cette facture n'est malheureusement pas correcte.;This invoice is unfortunately not correct.
verbe (chapitre VHS);B1;Kapitel 9 (VHS);verdienen;gagner (de l'argent), mériter;to earn, to deserve;Sie verdient in ihrem neuen Job mehr Geld.;Elle gagne plus d'argent dans son nouveau travail.;She earns more money in her new job.
verbe (chapitre VHS);B1;Kapitel 9 (VHS);wecken;réveiller;to wake (someone);Der Wecker weckt mich jeden Morgen um sechs.;Le réveil me réveille tous les matins à six heures.;The alarm wakes me up every morning at six.
verbe (chapitre VHS);B1;Kapitel 9 (VHS);sich etwas wünschen;souhaiter qch;to wish for sth;Er wünscht sich mehr Verantwortung im Job.;Il souhaite avoir plus de responsabilités au travail.;He wishes for more responsibility at work.
verbe (chapitre VHS);B1;Kapitel 10 (VHS);siegen;gagner, être vainqueur;to win, to be victorious;Unsere Mannschaft siegt heute klar.;Notre équipe gagne nettement aujourd'hui.;Our team wins clearly today.
verbe (chapitre VHS);B1;Kapitel 10 (VHS);tauchen;plonger;to dive;Er taucht gern im klaren Wasser des Sees.;Il aime plonger dans l'eau claire du lac.;He likes to dive in the lake's clear water.
verbe (chapitre VHS);B1;Kapitel 10 (VHS);überreden;persuader;to persuade;Sie überredet mich, beim Rennen mitzumachen.;Elle me persuade de participer à la course.;She persuades me to take part in the race.
verbe (chapitre VHS);B1;Kapitel 10 (VHS);wetten;parier;to bet;Ich wette, dass unser Team gewinnt.;Je parie que notre équipe va gagner.;I bet our team will win.
verbe (chapitre VHS);B1;Kapitel 10 (VHS);bestehen;réussir (un examen), consister en;to pass (an exam), to consist of;Die Mannschaft besteht aus Spielern von zwei Vereinen.;L'équipe est composée de joueurs de deux clubs.;The team consists of players from two clubs.
verbe (chapitre VHS);B1;Kapitel 10 (VHS);dabei sein;participer, être présent;to take part, to be there;Beim nächsten Marathon bin ich dabei.;Je participe au prochain marathon.;I'll be taking part in the next marathon.
verbe (chapitre VHS);B1;Kapitel 10 (VHS);drehen;tourner;to turn, to spin;Der Torwart dreht den Kopf blitzschnell zum Ball.;Le gardien tourne la tête vers le ballon à toute vitesse.;The goalkeeper turns his head to the ball in a flash.
verbe (chapitre VHS);B1;Kapitel 10 (VHS);halten;tenir, arrêter (le ballon);to hold, to save (a ball);Der Tormann hält den letzten Elfmeter.;Le gardien arrête le dernier penalty.;The goalkeeper saves the last penalty.
verbe (chapitre VHS);B1;Kapitel 11 (VHS);finanzieren;financer;to finance;Die Eltern finanzieren einen Teil des Studiums.;Les parents financent une partie des études.;The parents finance part of the studies.
verbe (chapitre VHS);B1;Kapitel 11 (VHS);halten;tenir, considérer;to hold, to consider;Er hält seine Familie für das Wichtigste im Leben.;Il considère sa famille comme la chose la plus importante dans la vie.;He considers his family the most important thing in life.
verbe (chapitre VHS);B1;Kapitel 11 (VHS);kleben;coller;to glue, to stick;Das Kind klebt Bilder in sein Fotoalbum.;L'enfant colle des images dans son album photo.;The child glues pictures into his photo album.
verbe (chapitre VHS);B1;Kapitel 11 (VHS);sich etwas leisten;se permettre qch;to afford sth;Sie können sich diesen Urlaub gerade nicht leisten.;Ils ne peuvent pas se permettre ces vacances en ce moment.;They can't afford this vacation right now.
verbe (chapitre VHS);B1;Kapitel 11 (VHS);loslassen;lâcher;to let go;Die Mutter lässt langsam die Hand ihres Kindes los.;La mère lâche lentement la main de son enfant.;The mother slowly lets go of her child's hand.
verbe (chapitre VHS);B1;Kapitel 11 (VHS);sich etwas teilen;partager qch;to share sth;Die Geschwister teilen sich ein Zimmer.;Les frères et sœurs partagent une chambre.;The siblings share a room.
verbe (chapitre VHS);B1;Kapitel 11 (VHS);sich trennen;se séparer;to separate, to break up;Die beiden trennen sich nach zehn Jahren.;Les deux se séparent après dix ans.;The two are separating after ten years.
verbe (chapitre VHS);B1;Kapitel 11 (VHS);verreisen;partir en voyage;to go on a trip;Wir verreisen dieses Jahr mit der ganzen Familie.;Nous partons en voyage avec toute la famille cette année.;We're going on a trip with the whole family this year.
verbe (chapitre VHS);B1;Kapitel 11 (VHS);versäumen;manquer, rater (une occasion);to miss (an opportunity);Er versäumt oft wichtige Termine.;Il manque souvent des rendez-vous importants.;He often misses important appointments.
verbe (chapitre VHS);B1;Kapitel 11 (VHS);wert sein;valoir la peine;to be worth it;Diese Erfahrung ist die Mühe wert.;Cette expérience vaut la peine.;This experience is worth the effort.
verbe (chapitre VHS);B1;Kapitel 11 (VHS);abwaschen;laver la vaisselle;to wash up, to do the dishes;Nach dem Essen wäscht er das Geschirr ab.;Après le repas, il fait la vaisselle.;After the meal, he does the dishes.
verbe (chapitre VHS);B1;Kapitel 11 (VHS);ankommen;arriver (sur qch), dépendre de;to arrive, to depend (on sth);Es kommt darauf an, wie viel Zeit wir haben.;Cela dépend du temps dont nous disposons.;It depends on how much time we have.
verbe (chapitre VHS);B1;Kapitel 11 (VHS);aufgeben;abandonner, renoncer;to give up;Sie gibt ihre Karriere für die Familie nicht auf.;Elle n'abandonne pas sa carrière pour sa famille.;She does not give up her career for her family.
verbe (chapitre VHS);B1;Kapitel 11 (VHS);aussteigen;quitter (un métier), descendre;to quit (a profession), to get out;Er steigt aus seinem Beruf aus, um Vater zu sein.;Il quitte son métier pour être père.;He is quitting his profession to be a father.
verbe (chapitre VHS);B1;Kapitel 11 (VHS);behandeln;traiter;to treat;Die Eltern behandeln beide Kinder gleich.;Les parents traitent les deux enfants de la même façon.;The parents treat both children the same way.
verbe (chapitre VHS);B1;Kapitel 11 (VHS);bleiben;rester;to stay, to remain;Sie bleibt zu Hause, um sich um das Baby zu kümmern.;Elle reste à la maison pour s'occuper du bébé.;She stays home to take care of the baby.
verbe (chapitre VHS);B1;Kapitel 11 (VHS);brauchen;avoir besoin de;to need;Junge Eltern brauchen viel Unterstützung.;Les jeunes parents ont besoin de beaucoup de soutien.;Young parents need a lot of support.
verbe (chapitre VHS);B1;Kapitel 11 (VHS);bringen;apporter, amener;to bring;Er bringt die Kinder jeden Morgen zur Kita.;Il amène les enfants à la crèche tous les matins.;He takes the children to daycare every morning.
verbe (chapitre VHS);B1;Kapitel 11 (VHS);durchfallen;échouer (à un examen);to fail (an exam);Ohne Vorbereitung fällt man bei der Prüfung durch.;Sans préparation, on échoue à l'examen.;Without preparation, you fail the exam.
verbe (chapitre VHS);B1;Kapitel 11 (VHS);erziehen;élever (un enfant);to raise (a child);Sie erziehen ihre Kinder sehr liebevoll.;Ils élèvent leurs enfants avec beaucoup d'affection.;They raise their children very lovingly.
verbe (chapitre VHS);B1;Kapitel 12 (VHS);entgegennehmen;recevoir, accepter (une remise);to accept, to receive;Der Empfang nimmt die Pakete für die Mieter entgegen.;La réception reçoit les colis pour les locataires.;The reception accepts packages for the tenants.
verbe (chapitre VHS);B1;Kapitel 12 (VHS);frustrieren;frustrer;to frustrate;Die lange Wartezeit frustriert viele Kunden.;La longue attente frustre beaucoup de clients.;The long wait frustrates many customers.
verbe (chapitre VHS);B1;Kapitel 12 (VHS);montieren;monter, assembler;to assemble, to mount;Der Techniker montiert die neue Klimaanlage.;Le technicien monte le nouveau climatiseur.;The technician assembles the new air conditioner.
verbe (chapitre VHS);B1;Kapitel 12 (VHS);sich orientieren;s'orienter;to orient oneself;In der neuen Stadt orientiert sie sich an der Karte.;Dans la nouvelle ville, elle s'oriente à l'aide de la carte.;In the new city she gets her bearings from the map.
verbe (chapitre VHS);B1;Kapitel 12 (VHS);stellen;poser (une question), déposer (une demande);to ask (a question), to submit (a request);Sie stellt viele Fragen zur Ausbildung.;Elle pose beaucoup de questions sur la formation.;She asks a lot of questions about the training.
verbe (chapitre VHS);B1;Kapitel 12 (VHS);zusammenbleiben;rester ensemble;to stay together;Die beiden Freunde bleiben seit der Schule zusammen.;Les deux amis restent ensemble depuis l'école.;The two friends have stayed together since school.
verbe (chapitre VHS);B1;Kapitel 12 (VHS);sich zusammensetzen;se composer (de qch), s'asseoir ensemble;to consist of, to sit down together;Das Team setzt sich aus zehn Personen zusammen.;L'équipe se compose de dix personnes.;The team consists of ten people.
verbe (chapitre VHS);B1;Kapitel 12 (VHS);anpassen;adapter;to adapt;Sie passt ihren Lebenslauf an jede Stelle an.;Elle adapte son CV à chaque poste.;She adapts her résumé to each position.
verbe (chapitre VHS);B1;Kapitel 12 (VHS);auftreten;se présenter, se comporter;to appear, to behave, to occur;Im Vorstellungsgespräch tritt sie sehr sicher auf.;Lors de l'entretien, elle se présente avec beaucoup d'assurance.;In the job interview she comes across very confidently.
verbe (chapitre VHS);B1;Kapitel 12 (VHS);auschecken;quitter l'hôtel (check-out);to check out;Wir checken um elf Uhr aus.;Nous quittons la chambre à onze heures.;We check out at eleven o'clock.
verbe (chapitre VHS);B1;Kapitel 12 (VHS);bewerten;évaluer, noter;to evaluate, to rate;Der Lehrer bewertet die Arbeiten nach klaren Kriterien.;Le professeur évalue les travaux selon des critères clairs.;The teacher evaluates the papers according to clear criteria.
