niveau;infinitif;traduction;regime;preposition;sans_complement;reflechi;temps;phrase_de;phrase_fr;phrase_en
A1;mögen;aimer bien;Akkusativ;;;;Präsens;Ich mag Schokolade.;J'aime le chocolat.;I like chocolate.
A1;mögen;aimer bien;Akkusativ;;;;Perfekt;Ich habe Schokolade schon immer gemocht.;J'ai toujours aimé le chocolat.;I have always liked chocolate.
A1;mögen;aimer bien;Akkusativ;;;;Präteritum;Ich mochte als Kind keinen Fisch.;Enfant, je n'aimais pas le poisson.;As a child, I didn't like fish.
A1;mögen;aimer bien;Akkusativ;;;;Konjunktiv II;Ich möchte gern ein Glas Wasser.;Je voudrais bien un verre d'eau.;I would like a glass of water.
A1;machen;faire;Akkusativ;;;;Präsens;Ich mache meine Hausaufgaben.;Je fais mes devoirs.;I do my homework.
A1;machen;faire;Akkusativ;;;;Perfekt;Ich habe meine Hausaufgaben schon gemacht.;J'ai déjà fait mes devoirs.;I have already done my homework.
A1;machen;faire;Akkusativ;;;;Präteritum;Ich machte gestern meine Hausaufgaben.;J'ai fait mes devoirs hier.;I did my homework yesterday.
A1;machen;faire;Akkusativ;;;;Konjunktiv II;Ich würde die Arbeit anders machen.;Je ferais le travail autrement.;I would do the work differently.
A1;gehen;aller;;;oui;;Präsens;Ich gehe jeden Tag spazieren.;Je me promène tous les jours.;I go for a walk every day.
A1;gehen;aller;;;oui;;Perfekt;Ich bin spazieren gegangen.;Je suis allé me promener.;I went for a walk.
A1;gehen;aller;;;oui;;Präteritum;Ich ging gestern spazieren.;Je me suis promené hier.;I went for a walk yesterday.
A1;gehen;aller;;;oui;;Konjunktiv II;Wenn ich Zeit hätte, ginge ich ins Kino.;Si j'avais le temps, j'irais au cinéma.;If I had time, I would go to the cinema.
A1;kommen;venir;;;oui;;Präsens;Ich komme aus Frankreich.;Je viens de France.;I come from France.
A1;kommen;venir;;;oui;;Perfekt;Er ist spät gekommen.;Il est arrivé en retard.;He arrived late.
A1;kommen;venir;;;oui;;Präteritum;Ich kam letztes Jahr nach Deutschland.;Je suis venu en Allemagne l'année dernière.;I came to Germany last year.
A1;kommen;venir;;;oui;;Konjunktiv II;Er käme gern mit, wenn er könnte.;Il viendrait volontiers, s'il le pouvait.;He would gladly come along if he could.
A1;sehen;voir;Akkusativ;;;;Präsens;Ich sehe meine Freunde.;Je vois mes amis.;I see my friends.
A1;sehen;voir;Akkusativ;;;;Perfekt;Ich habe meine Freunde gesehen.;J'ai vu mes amis.;I have seen my friends.
A1;sehen;voir;Akkusativ;;;;Präteritum;Ich sah gestern meine Freunde.;J'ai vu mes amis hier.;I saw my friends yesterday.
A1;sehen;voir;Akkusativ;;;;Konjunktiv II;Ich würde gern meine Freunde sehen.;J'aimerais voir mes amis.;I would like to see my friends.
A1;geben;donner;Akkusativ+Dativ;;;;Präsens;Ich gebe dir mein Buch.;Je te donne mon livre.;I give you my book.
A1;geben;donner;Akkusativ+Dativ;;;;Perfekt;Ich habe dir mein Buch gegeben.;Je t'ai donné mon livre.;I gave you my book.
A1;geben;donner;Akkusativ+Dativ;;;;Präteritum;Ich gab ihm mein Buch.;Je lui ai donné mon livre.;I gave him my book.
A1;geben;donner;Akkusativ+Dativ;;;;Konjunktiv II;Ich würde dir mein Buch geben.;Je te donnerais mon livre.;I would give you my book.
A1;nehmen;prendre;Akkusativ;;;;Präsens;Ich nehme den Bus.;Je prends le bus.;I take the bus.
A1;nehmen;prendre;Akkusativ;;;;Perfekt;Ich habe heute den Bus genommen.;J'ai pris le bus aujourd'hui.;I took the bus today.
A1;nehmen;prendre;Akkusativ;;;;Präteritum;Ich nahm gestern den Bus.;J'ai pris le bus hier.;I took the bus yesterday.
A1;nehmen;prendre;Akkusativ;;;;Konjunktiv II;Ich nähme lieber den Zug.;Je prendrais plutôt le train.;I would rather take the train.
A1;sagen;dire;Akkusativ+Dativ;;;;Präsens;Ich sage dir die Wahrheit.;Je te dis la vérité.;I am telling you the truth.
A1;sagen;dire;Akkusativ+Dativ;;;;Perfekt;Ich habe dir die Wahrheit gesagt.;Je t'ai dit la vérité.;I told you the truth.
A1;sagen;dire;Akkusativ+Dativ;;;;Präteritum;Ich sagte ihm die Wahrheit.;Je lui ai dit la vérité.;I told him the truth.
A1;sagen;dire;Akkusativ+Dativ;;;;Konjunktiv II;Ich würde ihr die Wahrheit sagen.;Je lui dirais la vérité.;I would tell her the truth.
A1;wissen;savoir;Akkusativ;;;;Präsens;Ich weiß die Antwort nicht.;Je ne connais pas la réponse.;I don't know the answer.
A1;wissen;savoir;Akkusativ;;;;Perfekt;Ich habe die Antwort nicht gewusst.;Je ne savais pas la réponse.;I didn't know the answer.
A1;wissen;savoir;Akkusativ;;;;Präteritum;Ich wusste die Antwort nicht.;Je ne savais pas la réponse.;I didn't know the answer.
A1;wissen;savoir;Akkusativ;;;;Konjunktiv II;Ich wüsste gern die Antwort.;J'aimerais bien savoir la réponse.;I would like to know the answer.
A1;finden;trouver;Akkusativ;;;;Präsens;Ich finde den Film gut.;Je trouve le film bien.;I think the movie is good.
A1;finden;trouver;Akkusativ;;;;Perfekt;Ich habe den Film gut gefunden.;J'ai trouvé le film bien.;I thought the movie was good.
A1;finden;trouver;Akkusativ;;;;Präteritum;Ich fand den Film gut.;J'ai trouvé le film bien.;I thought the movie was good.
A1;finden;trouver;Akkusativ;;;;Konjunktiv II;Ich fände die Idee gut.;Je trouverais l'idée bonne.;I would find the idea good.
A1;denken;penser;;an + Akkusativ;;;Präsens;Ich denke oft an dich.;Je pense souvent à toi.;I often think of you.
A1;denken;penser;;an + Akkusativ;;;Perfekt;Ich habe an dich gedacht.;J'ai pensé à toi.;I thought of you.
A1;denken;penser;;an + Akkusativ;;;Präteritum;Ich dachte oft an dich.;Je pensais souvent à toi.;I often thought of you.
A1;denken;penser;;an + Akkusativ;;;Konjunktiv II;Ich würde oft an dich denken.;Je penserais souvent à toi.;I would often think of you.
A1;glauben;croire;Dativ;;;;Präsens;Ich glaube dir.;Je te crois.;I believe you.
A1;glauben;croire;Dativ;;;;Perfekt;Ich habe dir geglaubt.;Je t'ai cru.;I believed you.
A1;glauben;croire;Dativ;;;;Präteritum;Ich glaubte ihm nicht.;Je ne le croyais pas.;I didn't believe him.
A1;glauben;croire;Dativ;;;;Konjunktiv II;Ich würde ihm nicht glauben.;Je ne le croirais pas.;I would not believe him.
A1;brauchen;avoir besoin de;Akkusativ;;;;Präsens;Ich brauche mehr Zeit.;J'ai besoin de plus de temps.;I need more time.
A1;brauchen;avoir besoin de;Akkusativ;;;;Perfekt;Ich habe mehr Zeit gebraucht.;J'ai eu besoin de plus de temps.;I needed more time.
A1;brauchen;avoir besoin de;Akkusativ;;;;Präteritum;Ich brauchte gestern Hilfe.;J'avais besoin d'aide hier.;I needed help yesterday.
A1;brauchen;avoir besoin de;Akkusativ;;;;Konjunktiv II;Ich bräuchte deine Hilfe.;J'aurais besoin de ton aide.;I would need your help.
A1;arbeiten;travailler;;;oui;;Präsens;Ich arbeite von zu Hause.;Je travaille depuis chez moi.;I work from home.
A1;arbeiten;travailler;;;oui;;Perfekt;Ich habe gestern gearbeitet.;J'ai travaillé hier.;I worked yesterday.
A1;arbeiten;travailler;;;oui;;Präteritum;Ich arbeitete den ganzen Tag.;J'ai travaillé toute la journée.;I worked all day.
A1;arbeiten;travailler;;;oui;;Konjunktiv II;Ich würde lieber im Büro arbeiten.;Je préférerais travailler au bureau.;I would rather work in the office.
A1;spielen;jouer;Akkusativ;;;;Präsens;Die Kinder spielen Fußball.;Les enfants jouent au foot.;The children play soccer.
A1;spielen;jouer;Akkusativ;;;;Perfekt;Die Kinder haben Fußball gespielt.;Les enfants ont joué au foot.;The children played soccer.
A1;spielen;jouer;Akkusativ;;;;Präteritum;Die Kinder spielten Fußball.;Les enfants jouaient au foot.;The children played soccer.
A1;spielen;jouer;Akkusativ;;;;Konjunktiv II;Wir würden gern Karten spielen.;Nous aimerions jouer aux cartes.;We would like to play cards.
A1;lernen;apprendre;Akkusativ;;;;Präsens;Ich lerne Deutsch.;J'apprends l'allemand.;I am learning German.
A1;lernen;apprendre;Akkusativ;;;;Perfekt;Ich habe viel Deutsch gelernt.;J'ai beaucoup appris l'allemand.;I have learned a lot of German.
A1;lernen;apprendre;Akkusativ;;;;Präteritum;Ich lernte drei Jahre Deutsch.;J'ai appris l'allemand pendant trois ans.;I learned German for three years.
A1;lernen;apprendre;Akkusativ;;;;Konjunktiv II;Ich würde gern mehr Deutsch lernen.;J'aimerais apprendre plus d'allemand.;I would like to learn more German.
A1;wohnen;habiter;;;oui;;Präsens;Ich wohne in Berlin.;J'habite à Berlin.;I live in Berlin.
A1;wohnen;habiter;;;oui;;Perfekt;Ich habe lange in Berlin gewohnt.;J'ai longtemps habité à Berlin.;I lived in Berlin for a long time.
A1;wohnen;habiter;;;oui;;Präteritum;Ich wohnte früher in München.;J'habitais autrefois à Munich.;I used to live in Munich.
A1;wohnen;habiter;;;oui;;Konjunktiv II;Ich würde lieber am Meer wohnen.;Je préférerais habiter au bord de la mer.;I would rather live by the sea.
A1;leben;vivre;;;oui;;Präsens;Meine Eltern leben in Frankreich.;Mes parents vivent en France.;My parents live in France.
A1;leben;vivre;;;oui;;Perfekt;Sie haben lange zusammen gelebt.;Ils ont vécu longtemps ensemble.;They lived together for a long time.
A1;leben;vivre;;;oui;;Präteritum;Meine Großeltern lebten auf dem Land.;Mes grands-parents vivaient à la campagne.;My grandparents lived in the countryside.
A1;leben;vivre;;;oui;;Konjunktiv II;Ich würde gern im Ausland leben.;J'aimerais vivre à l'étranger.;I would like to live abroad.
A1;lieben;aimer;Akkusativ;;;;Präsens;Ich liebe meine Familie.;J'aime ma famille.;I love my family.
A1;lieben;aimer;Akkusativ;;;;Perfekt;Ich habe meine Familie schon immer geliebt.;J'ai toujours aimé ma famille.;I have always loved my family.
A1;lieben;aimer;Akkusativ;;;;Präteritum;Ich liebte diese Stadt.;J'aimais cette ville.;I loved this city.
A1;lieben;aimer;Akkusativ;;;;Konjunktiv II;Ich würde diese Stadt lieben.;J'aimerais cette ville.;I would love this city.
A1;kaufen;acheter;Akkusativ;;;;Präsens;Ich kaufe frisches Brot.;J'achète du pain frais.;I buy fresh bread.
A1;kaufen;acheter;Akkusativ;;;;Perfekt;Ich habe frisches Brot gekauft.;J'ai acheté du pain frais.;I bought fresh bread.
A1;kaufen;acheter;Akkusativ;;;;Präteritum;Ich kaufte gestern Brot.;J'ai acheté du pain hier.;I bought bread yesterday.
A1;kaufen;acheter;Akkusativ;;;;Konjunktiv II;Ich würde das Auto kaufen, wenn ich Geld hätte.;J'achèterais la voiture si j'avais l'argent.;I would buy the car if I had money.
A1;verkaufen;vendre;Akkusativ;;;;Präsens;Er verkauft sein altes Fahrrad.;Il vend son vieux vélo.;He is selling his old bike.
A1;verkaufen;vendre;Akkusativ;;;;Perfekt;Er hat sein altes Fahrrad verkauft.;Il a vendu son vieux vélo.;He sold his old bike.
A1;verkaufen;vendre;Akkusativ;;;;Präteritum;Er verkaufte sein altes Fahrrad.;Il a vendu son vieux vélo.;He sold his old bike.
A1;verkaufen;vendre;Akkusativ;;;;Konjunktiv II;Ich würde das Haus nicht verkaufen.;Je ne vendrais pas la maison.;I would not sell the house.
A1;kochen;cuisiner;Akkusativ;;;;Präsens;Ich koche heute Abend Pasta.;Je cuisine des pâtes ce soir.;I'm cooking pasta tonight.
A1;kochen;cuisiner;Akkusativ;;;;Perfekt;Ich habe gestern Abend Pasta gekocht.;J'ai cuisiné des pâtes hier soir.;I cooked pasta last night.
A1;kochen;cuisiner;Akkusativ;;;;Präteritum;Ich kochte gestern Pasta.;J'ai cuisiné des pâtes hier.;I cooked pasta yesterday.
A1;kochen;cuisiner;Akkusativ;;;;Konjunktiv II;Ich würde gern öfter Pasta kochen.;J'aimerais cuisiner des pâtes plus souvent.;I would like to cook pasta more often.
A1;essen;manger;Akkusativ;;;;Präsens;Ich esse gern Pizza.;J'aime manger de la pizza.;I like eating pizza.
A1;essen;manger;Akkusativ;;;;Perfekt;Ich habe eine Pizza gegessen.;J'ai mangé une pizza.;I ate a pizza.
A1;essen;manger;Akkusativ;;;;Präteritum;Ich aß gestern Pizza.;J'ai mangé de la pizza hier.;I ate pizza yesterday.
A1;essen;manger;Akkusativ;;;;Konjunktiv II;Ich würde gern mehr Gemüse essen.;J'aimerais manger plus de légumes.;I would like to eat more vegetables.
A1;trinken;boire;Akkusativ;;;;Präsens;Ich trinke jeden Morgen Kaffee.;Je bois du café tous les matins.;I drink coffee every morning.
A1;trinken;boire;Akkusativ;;;;Perfekt;Ich habe heute Morgen Kaffee getrunken.;J'ai bu du café ce matin.;I drank coffee this morning.
A1;trinken;boire;Akkusativ;;;;Präteritum;Ich trank heute Morgen Kaffee.;J'ai bu du café ce matin.;I drank coffee this morning.
A1;trinken;boire;Akkusativ;;;;Konjunktiv II;Ich würde gern ein Glas Wasser trinken.;J'aimerais bien boire un verre d'eau.;I would like to drink a glass of water.
A1;schlafen;dormir;;;oui;;Präsens;Ich schlafe acht Stunden.;Je dors huit heures.;I sleep eight hours.
A1;schlafen;dormir;;;oui;;Perfekt;Ich habe schlecht geschlafen.;J'ai mal dormi.;I slept badly.
A1;schlafen;dormir;;;oui;;Präteritum;Ich schlief acht Stunden.;J'ai dormi huit heures.;I slept eight hours.
A1;schlafen;dormir;;;oui;;Konjunktiv II;Ich würde gern länger schlafen.;J'aimerais dormir plus longtemps.;I would like to sleep longer.
A1;hören;écouter, entendre;Akkusativ;;;;Präsens;Ich höre gern Musik.;J'aime écouter de la musique.;I like listening to music.
A1;hören;écouter, entendre;Akkusativ;;;;Perfekt;Ich habe Musik gehört.;J'ai écouté de la musique.;I listened to music.
A1;hören;écouter, entendre;Akkusativ;;;;Präteritum;Ich hörte gestern Musik.;J'ai écouté de la musique hier.;I listened to music yesterday.
A1;hören;écouter, entendre;Akkusativ;;;;Konjunktiv II;Ich würde gern Musik hören.;J'aimerais écouter de la musique.;I would like to listen to music.
A1;sprechen;parler;Akkusativ;;;;Präsens;Ich spreche drei Sprachen.;Je parle trois langues.;I speak three languages.
A1;sprechen;parler;Akkusativ;;;;Perfekt;Ich habe Deutsch gesprochen.;J'ai parlé allemand.;I spoke German.
A1;sprechen;parler;Akkusativ;;;;Präteritum;Ich sprach gestern Deutsch.;J'ai parlé allemand hier.;I spoke German yesterday.
A1;sprechen;parler;Akkusativ;;;;Konjunktiv II;Ich würde gern besser Deutsch sprechen.;J'aimerais mieux parler allemand.;I would like to speak German better.
A1;lesen;lire;Akkusativ;;;;Präsens;Ich lese jeden Abend ein Buch.;Je lis un livre tous les soirs.;I read a book every evening.
A1;lesen;lire;Akkusativ;;;;Perfekt;Ich habe gestern Abend ein Buch gelesen.;J'ai lu un livre hier soir.;I read a book last night.
A1;lesen;lire;Akkusativ;;;;Präteritum;Ich las gestern ein Buch.;J'ai lu un livre hier.;I read a book yesterday.
A1;lesen;lire;Akkusativ;;;;Konjunktiv II;Ich würde das Buch gern lesen.;J'aimerais bien lire ce livre.;I would like to read the book.
A1;schreiben;écrire;Akkusativ+Dativ;;;;Präsens;Ich schreibe dir eine E-Mail.;Je t'écris un e-mail.;I am writing you an e-mail.
A1;schreiben;écrire;Akkusativ+Dativ;;;;Perfekt;Ich habe dir eine E-Mail geschrieben.;Je t'ai écrit un e-mail.;I wrote you an e-mail.
A1;schreiben;écrire;Akkusativ+Dativ;;;;Präteritum;Ich schrieb ihr einen Brief.;Je lui ai écrit une lettre.;I wrote her a letter.
A1;schreiben;écrire;Akkusativ+Dativ;;;;Konjunktiv II;Ich würde dir gern eine E-Mail schreiben.;Je t'écrirais bien un e-mail.;I would like to write you an e-mail.
A1;fahren;conduire, aller (en véhicule);;;oui;;Präsens;Ich fahre mit dem Auto zur Arbeit.;Je vais au travail en voiture.;I drive to work.
A1;fahren;conduire, aller (en véhicule);;;oui;;Perfekt;Ich bin mit dem Auto gefahren.;Je suis allé en voiture.;I went by car.
A1;fahren;conduire, aller (en véhicule);;;oui;;Präteritum;Ich fuhr gestern nach Hamburg.;Je suis allé à Hambourg hier.;I went to Hamburg yesterday.
A1;fahren;conduire, aller (en véhicule);;;oui;;Konjunktiv II;Ich würde lieber mit dem Zug fahren.;Je préférerais prendre le train.;I would rather go by train.
A1;fliegen;voler (en avion);;;oui;;Präsens;Wir fliegen nach Spanien.;Nous prenons l'avion pour l'Espagne.;We are flying to Spain.
A1;fliegen;voler (en avion);;;oui;;Perfekt;Wir sind nach Spanien geflogen.;Nous sommes allés en Espagne en avion.;We flew to Spain.
A1;fliegen;voler (en avion);;;oui;;Präteritum;Wir flogen letztes Jahr nach Spanien.;Nous sommes allés en Espagne l'année dernière.;We flew to Spain last year.
A1;fliegen;voler (en avion);;;oui;;Konjunktiv II;Ich würde gern nach Japan fliegen.;J'aimerais bien aller au Japon en avion.;I would like to fly to Japan.
A1;laufen;courir, marcher;;;oui;;Präsens;Ich laufe jeden Morgen.;Je cours tous les matins.;I run every morning.
A1;laufen;courir, marcher;;;oui;;Perfekt;Ich bin heute Morgen gelaufen.;J'ai couru ce matin.;I ran this morning.
A1;laufen;courir, marcher;;;oui;;Präteritum;Ich lief gestern zehn Kilometer.;J'ai couru dix kilomètres hier.;I ran ten kilometers yesterday.
A1;laufen;courir, marcher;;;oui;;Konjunktiv II;Ich würde gern öfter laufen.;J'aimerais courir plus souvent.;I would like to run more often.
A1;tragen;porter;Akkusativ;;;;Präsens;Sie trägt eine rote Jacke.;Elle porte une veste rouge.;She is wearing a red jacket.
A1;tragen;porter;Akkusativ;;;;Perfekt;Sie hat eine rote Jacke getragen.;Elle a porté une veste rouge.;She wore a red jacket.
A1;tragen;porter;Akkusativ;;;;Präteritum;Sie trug eine rote Jacke.;Elle portait une veste rouge.;She was wearing a red jacket.
A1;tragen;porter;Akkusativ;;;;Konjunktiv II;Ich würde diese Jacke nicht tragen.;Je ne porterais pas cette veste.;I would not wear this jacket.
A1;helfen;aider;Dativ;;;;Präsens;Ich helfe meiner Mutter.;J'aide ma mère.;I help my mother.
A1;helfen;aider;Dativ;;;;Perfekt;Ich habe meiner Mutter geholfen.;J'ai aidé ma mère.;I helped my mother.
A1;helfen;aider;Dativ;;;;Präteritum;Ich half meiner Mutter.;J'ai aidé ma mère.;I helped my mother.
A1;helfen;aider;Dativ;;;;Konjunktiv II;Ich würde dir gern helfen.;J'aimerais bien t'aider.;I would like to help you.
A1;lachen;rire;;;oui;;Präsens;Die Kinder lachen viel.;Les enfants rient beaucoup.;The children laugh a lot.
A1;lachen;rire;;;oui;;Perfekt;Die Kinder haben viel gelacht.;Les enfants ont beaucoup ri.;The children laughed a lot.
A1;lachen;rire;;;oui;;Präteritum;Die Kinder lachten laut.;Les enfants riaient fort.;The children laughed loudly.
A1;lachen;rire;;;oui;;Konjunktiv II;Ich würde darüber auch lachen.;J'en rirais aussi.;I would laugh about that too.
A1;weinen;pleurer;;;oui;;Präsens;Das Baby weint.;Le bébé pleure.;The baby is crying.
A1;weinen;pleurer;;;oui;;Perfekt;Das Baby hat geweint.;Le bébé a pleuré.;The baby cried.
A1;weinen;pleurer;;;oui;;Präteritum;Das Baby weinte die ganze Nacht.;Le bébé a pleuré toute la nuit.;The baby cried all night.
A1;weinen;pleurer;;;oui;;Konjunktiv II;Ich würde vor Freude weinen.;Je pleurerais de joie.;I would cry with joy.
A1;fragen;demander;Akkusativ;;;;Präsens;Ich frage den Lehrer.;Je demande au professeur.;I ask the teacher.
A1;fragen;demander;Akkusativ;;;;Perfekt;Ich habe ihn direkt gefragt.;Je lui ai demandé directement.;I asked him directly.
A1;fragen;demander;Akkusativ;;;;Präteritum;Ich fragte den Lehrer.;J'ai demandé au professeur.;I asked the teacher.
A1;fragen;demander;Akkusativ;;;;Konjunktiv II;Ich würde ihn direkt fragen.;Je lui demanderais directement.;I would ask him directly.
A1;antworten;répondre;Dativ;;;;Präsens;Ich antworte dir.;Je te réponds.;I answer you.
A1;antworten;répondre;Dativ;;;;Perfekt;Ich habe dir sofort geantwortet.;Je t'ai répondu tout de suite.;I answered you right away.
A1;antworten;répondre;Dativ;;;;Präteritum;Ich antwortete ihm sofort.;Je lui ai répondu tout de suite.;I answered him right away.
A1;antworten;répondre;Dativ;;;;Konjunktiv II;Ich würde dir sofort antworten.;Je te répondrais tout de suite.;I would answer you right away.
A1;warten;attendre;;auf + Akkusativ;;;Präsens;Ich warte auf den Bus.;J'attends le bus.;I am waiting for the bus.
A1;warten;attendre;;auf + Akkusativ;;;Perfekt;Ich habe auf den Bus gewartet.;J'ai attendu le bus.;I waited for the bus.
A1;warten;attendre;;auf + Akkusativ;;;Präteritum;Ich wartete lange auf den Bus.;J'ai attendu longtemps le bus.;I waited a long time for the bus.
A1;warten;attendre;;auf + Akkusativ;;;Konjunktiv II;Ich würde nicht länger auf dich warten.;Je ne t'attendrais plus longtemps.;I would not wait for you any longer.
A1;suchen;chercher;Akkusativ;;;;Präsens;Ich suche meine Schlüssel.;Je cherche mes clés.;I am looking for my keys.
A1;suchen;chercher;Akkusativ;;;;Perfekt;Ich habe meine Schlüssel gesucht.;J'ai cherché mes clés.;I looked for my keys.
A1;suchen;chercher;Akkusativ;;;;Präteritum;Ich suchte überall meine Schlüssel.;J'ai cherché mes clés partout.;I looked for my keys everywhere.
A1;suchen;chercher;Akkusativ;;;;Konjunktiv II;Ich würde meinen Schlüssel suchen.;Je chercherais ma clé.;I would look for my key.
A1;öffnen;ouvrir;Akkusativ;;;;Präsens;Ich öffne das Fenster.;J'ouvre la fenêtre.;I open the window.
A1;öffnen;ouvrir;Akkusativ;;;;Perfekt;Ich habe das Fenster geöffnet.;J'ai ouvert la fenêtre.;I opened the window.
A1;öffnen;ouvrir;Akkusativ;;;;Präteritum;Ich öffnete das Fenster.;J'ai ouvert la fenêtre.;I opened the window.
A1;öffnen;ouvrir;Akkusativ;;;;Konjunktiv II;Ich würde die Tür öffnen, wenn ich den Schlüssel hätte.;J'ouvrirais la porte si j'avais la clé.;I would open the door if I had the key.
A1;schließen;fermer;Akkusativ;;;;Präsens;Ich schließe die Tür.;Je ferme la porte.;I close the door.
A1;schließen;fermer;Akkusativ;;;;Perfekt;Ich habe die Tür geschlossen.;J'ai fermé la porte.;I closed the door.
A1;schließen;fermer;Akkusativ;;;;Präteritum;Ich schloss die Tür.;J'ai fermé la porte.;I closed the door.
A1;schließen;fermer;Akkusativ;;;;Konjunktiv II;Ich würde das Geschäft früher schließen.;Je fermerais le magasin plus tôt.;I would close the shop earlier.
A1;beginnen;commencer;Akkusativ;;;;Präsens;Ich beginne die Arbeit.;Je commence le travail.;I begin the work.
A1;beginnen;commencer;Akkusativ;;;;Perfekt;Ich habe die Arbeit begonnen.;J'ai commencé le travail.;I began the work.
A1;beginnen;commencer;Akkusativ;;;;Präteritum;Ich begann die Arbeit.;J'ai commencé le travail.;I began the work.
A1;beginnen;commencer;Akkusativ;;;;Konjunktiv II;Ich würde gern die Arbeit früher beginnen.;J'aimerais commencer le travail plus tôt.;I would like to begin the work earlier.
A1;bleiben;rester;Nominativ;;;;Präsens;Sie bleibt Ärztin.;Elle reste médecin.;She remains a doctor.
A1;bleiben;rester;Nominativ;;;;Perfekt;Sie ist Ärztin geblieben.;Elle est restée médecin.;She stayed a doctor.
A1;bleiben;rester;Nominativ;;;;Präteritum;Sie blieb Ärztin.;Elle est restée médecin.;She remained a doctor.
